Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-138,2000,24,21,1785,19.8,1,2,3,1,0,0,2,0,2.7,2.7,3.2,5.9,30,66,110,0.05,0.10,0.15,0.05,0.15,0.14,0.16,0.30,0.14,0.30,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-239,1996,22,19,1639,18.2,4,3,7,4,0,0,1,0,4.6,4.6,2.7,7.3,12,25,84,0.22,0.16,0.38,0.22,0.38,0.26,0.15,0.40,0.26,0.40,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,24-023,1999,23,23,2066,23.0,0,0,0,0,0,0,6,1,0.1,0.1,1.3,1.4,17,128,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-166,1997,14,12,1095,12.2,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,6,36,1,0.08,0.00,0.08,0.08,0.08,0.01,0.00,0.01,0.01,0.01,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,26-344,1996,9,8,785,8.7,0,0,0,0,0,0,3,0,0.8,0.8,0.1,0.9,1,15,4,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches,288e1e13
6,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,20-345,2002,4,0,43,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,8,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches,a6c58494
7,Rayan Aït Nouri,fr FRA,DF,Wolves,21-276,2001,19,9,1009,11.2,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,42,73,0.09,0.00,0.09,0.09,0.09,0.06,0.09,0.15,0.06,0.15,Matches,9b398aea
8,Kristoffer Ajer,no NOR,DF,Brentford,24-326,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches,a8c0acb7
9,Manuel Akanji,ch SUI,DF,Manchester City,27-233,1995,19,16,1541,17.1,0,1,1,0,0,0,2,0,1.0,1.0,0.2,1.2,19,78,8,0.00,0.06,0.06,0.00,0.06,0.06,0.01,0.07,0.06,0.07,Matches,89ac64a6
10,Nathan Aké,nl NED,DF,Manchester City,28-019,1995,20,16,1423,15.8,0,0,0,0,0,0,1,0,1.0,1.0,0.3,1.4,19,110,20,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.09,0.06,0.09,Matches,eaeca114
11,Marc Albrighton,eng ENG,FWMF,Leicester City,33-111,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,5,7,18,0.38,0.00,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,31-332,1991,14,14,1154,12.8,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,12,107,22,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.12,0.03,0.12,Matches,77e84962
13,Carlos Alcaraz,ar ARG,MF,Southampton,20-099,2002,5,2,187,2.1,2,0,2,2,0,0,1,0,0.5,0.5,0.0,0.5,7,7,7,0.96,0.00,0.96,0.96,0.96,0.25,0.01,0.26,0.25,0.26,Matches,4abac767
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-153,1998,25,22,1869,20.8,1,2,3,1,0,0,3,0,1.6,1.6,6.2,7.8,30,152,109,0.05,0.10,0.14,0.05,0.14,0.08,0.30,0.37,0.08,0.37,Matches,cd1acf9d
15,Alisson,br BRA,GK,Liverpool,30-158,1992,25,25,2250,25.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,1,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Matches,7a2e46a8
16,Dele Alli,eng ENG,MF,Everton,26-332,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,cea4ee8f
17,Miguel Almirón,py PAR,FW,Newcastle Utd,29-027,1994,24,24,1955,21.7,10,1,11,10,0,0,2,0,6.0,6.0,1.5,7.6,61,105,200,0.46,0.05,0.51,0.46,0.51,0.28,0.07,0.35,0.28,0.35,Matches,862a1c15
18,Julián Álvarez,ar ARG,FWMF,Manchester City,23-037,2000,19,6,716,8.0,5,0,5,5,0,0,0,0,3.2,3.2,1.1,4.4,22,21,51,0.63,0.00,0.63,0.63,0.63,0.41,0.14,0.55,0.41,0.55,Matches,15ab5a2b
19,Daniel Amartey,gh GHA,DF,Leicester City,28-078,1994,17,15,1365,15.2,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,18,62,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,1a4ef233
20,Joachim Andersen,dk DEN,DF,Crystal Palace,26-282,1996,20,20,1747,19.4,1,0,1,1,0,0,5,0,1.3,1.3,0.4,1.7,5,51,5,0.05,0.00,0.05,0.05,0.05,0.07,0.02,0.09,0.07,0.09,Matches,e34fc66d
21,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,20-123,2002,11,1,143,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,15,8,14,0.00,0.00,0.00,0.00,0.00,0.30,0.32,0.62,0.30,0.62,Matches,de31038e
22,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-098,1999,20,7,859,9.5,3,0,3,3,0,0,1,0,1.5,1.5,0.6,2.1,23,38,50,0.31,0.00,0.31,0.31,0.31,0.16,0.06,0.22,0.16,0.22,Matches,e4238fb1
23,Michail Antonio,jm JAM,FW,West Ham,32-346,1990,23,12,1129,12.5,3,2,5,3,0,0,2,0,3.4,3.4,1.1,4.5,26,20,75,0.24,0.16,0.40,0.24,0.40,0.27,0.09,0.36,0.27,0.36,Matches,ac05f970
24,Antony,br BRA,FW,Manchester Utd,23-013,2000,13,12,998,11.1,3,0,3,3,0,0,4,0,2.8,2.8,0.5,3.3,52,31,86,0.27,0.00,0.27,0.27,0.27,0.25,0.04,0.30,0.25,0.30,Matches,99127249
25,Cameron Archer,eng ENG,FWMF,Aston Villa,21-231,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,05e8ca6d
26,Alphonse Areola,fr FRA,GK,West Ham,30-010,1993,4,1,219,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2f965a72
27,Joe Aribo,ng NGA,MFFW,Southampton,26-231,1996,19,11,1094,12.2,2,0,2,2,0,0,2,0,1.4,1.4,0.8,2.2,17,35,58,0.16,0.00,0.16,0.16,0.16,0.12,0.06,0.18,0.12,0.18,Matches,328f7d51
28,Adam Armstrong,eng ENG,FW,Southampton,26-027,1997,23,12,1096,12.2,1,1,2,1,0,0,1,0,1.8,1.8,0.7,2.5,35,15,54,0.08,0.08,0.16,0.08,0.16,0.15,0.05,0.20,0.15,0.20,Matches,68c720b5
29,Stuart Armstrong,sct SCO,MFFW,Southampton,30-344,1992,21,9,898,10.0,1,0,1,1,0,0,5,0,1.3,1.3,1.7,3.0,39,52,51,0.10,0.00,0.10,0.10,0.10,0.13,0.17,0.30,0.13,0.30,Matches,97333cf5
30,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-157,1994,17,17,1485,16.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,28d596a0
31,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-264,1989,12,4,441,4.9,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1.0,7,3,22,0.20,0.00,0.20,0.20,0.20,0.14,0.07,0.21,0.14,0.21,Matches,d5dd5f1f
32,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-322,1994,3,1,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches,9fec8860
33,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-075,1992,16,14,1250,13.9,1,0,1,1,0,0,2,0,0.6,0.6,0.9,1.5,29,50,40,0.07,0.00,0.07,0.07,0.07,0.05,0.06,0.11,0.05,0.11,Matches,5c2b4f07
34,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-209,1997,16,9,730,8.1,4,0,4,4,0,0,0,0,4.5,4.5,1.0,5.5,11,7,33,0.49,0.00,0.49,0.49,0.49,0.56,0.12,0.68,0.56,0.68,Matches,e5478b87
35,André Ayew,gh GHA,FW,Nott'ham Forest,33-082,1989,5,0,106,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,2,5,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches,5dbefa9d
36,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-179,1991,25,21,1751,19.5,1,1,2,1,0,0,2,0,1.4,1.4,1.6,3.0,50,37,103,0.05,0.05,0.10,0.05,0.10,0.07,0.08,0.15,0.07,0.15,Matches,da052c14
37,Luke Ayling,eng ENG,DF,Leeds United,31-196,1991,18,11,1064,11.8,0,1,1,0,0,0,1,0,1.1,1.1,1.5,2.5,16,45,50,0.00,0.08,0.08,0.00,0.08,0.09,0.12,0.22,0.09,0.22,Matches,420d7c7d
38,César Azpilicueta,es ESP,DF,Chelsea,33-193,1989,19,11,1106,12.3,0,0,0,0,0,0,3,0,0.3,0.3,1.0,1.3,17,58,60,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches,53cad200
39,Benoît Badiashile,fr FRA,DF,Chelsea,21-348,2001,6,6,540,6.0,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,8,32,1,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.19,0.10,0.19,Matches,06df8256
40,Leon Bailey,jm JAM,FWMF,Aston Villa,25-212,1997,24,19,1482,16.5,4,2,6,4,0,0,4,0,4.5,4.5,2.5,7.0,61,25,135,0.24,0.12,0.36,0.24,0.36,0.28,0.15,0.43,0.28,0.43,Matches,3a233281
41,Stefan Bajcetic,es ESP,MF,Liverpool,18-138,2004,10,5,439,4.9,1,0,1,1,0,0,2,0,0.8,0.8,0.4,1.1,8,21,1,0.21,0.00,0.21,0.21,0.21,0.15,0.08,0.23,0.15,0.23,Matches,32e8417f
42,Patrick Bamford,eng ENG,FW,Leeds United,29-185,1993,17,9,825,9.2,1,2,3,1,0,1,1,0,5.3,4.5,0.7,5.2,8,13,54,0.11,0.22,0.33,0.11,0.33,0.58,0.07,0.65,0.49,0.57,Matches,93feac6e
43,Shandon Baptiste,gd GRN,MF,Brentford,24-335,1998,13,4,439,4.9,0,0,0,0,0,0,1,0,0.2,0.2,0.7,0.9,8,32,19,0.00,0.00,0.00,0.00,0.00,0.04,0.15,0.19,0.04,0.19,Matches,2886c9b5
44,Harvey Barnes,eng ENG,MFFW,Leicester City,25-090,1997,23,23,1921,21.3,8,1,9,8,0,0,2,0,6.5,6.5,1.6,8.1,67,51,195,0.37,0.05,0.42,0.37,0.42,0.30,0.08,0.38,0.30,0.38,Matches,3ea50f67
45,Gavin Bazunu,ie IRL,GK,Southampton,21-017,2002,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c91441dc
46,Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-061,1999,4,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,30db8574
47,Jan Bednarek,pl POL,DF,Southampton,26-331,1996,7,7,609,6.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0,11,2,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,4115ce4e
48,Jan Bednarek,pl POL,DF,Aston Villa,26-331,1996,3,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4115ce4e
49,Donny van de Beek,nl NED,MF,Manchester Utd,25-325,1997,7,2,167,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,6,20,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches,50dc94ce
50,Asmir Begović,ba BIH,GK,Everton,35-262,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7b4de647
51,Armel Bella Kotchap,de GER,DF,Southampton,21-088,2001,16,16,1296,14.4,0,1,1,0,0,0,3,0,0.8,0.8,0.2,0.9,3,22,2,0.00,0.07,0.07,0.00,0.07,0.05,0.01,0.07,0.05,0.07,Matches,a39d11bc
52,Saïd Benrahma,dz ALG,FWMF,West Ham,27-211,1995,23,14,1339,14.9,3,3,6,1,2,2,0,0,3.9,2.3,2.8,5.2,67,49,172,0.20,0.20,0.40,0.07,0.27,0.26,0.19,0.45,0.16,0.35,Matches,5a04fd92
53,Rodrigo Bentancur,uy URU,MF,Tottenham,25-257,1997,18,17,1500,16.7,5,2,7,5,0,0,8,0,2.2,2.2,0.8,3.0,26,75,19,0.30,0.12,0.42,0.30,0.42,0.13,0.05,0.18,0.13,0.18,Matches,3b8674e6
54,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-083,2002,4,4,350,3.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,12,14,8,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Matches,505486d6
55,Owen Bevan,wls WAL,DF,Bournemouth,19-134,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,87966294
56,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22-343,2000,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,de40e38c
57,Philip Billing,dk DEN,MFFW,Bournemouth,26-271,1996,24,22,1793,19.9,5,1,6,5,0,0,3,0,2.2,2.2,2.2,4.4,25,48,63,0.25,0.05,0.30,0.25,0.30,0.11,0.11,0.22,0.11,0.22,Matches,d328a254
58,Yves Bissouma,ml MLI,MF,Tottenham,26-191,1996,20,8,814,9.0,0,0,0,0,0,0,5,0,0.2,0.2,0.5,0.7,10,45,7,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches,6c203af0
59,Willy Boly,ci CIV,DF,Nott'ham Forest,32-034,1991,8,8,592,6.6,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,1,10,0,0.00,0.15,0.15,0.00,0.15,0.00,0.03,0.03,0.00,0.03,Matches,a4ac4b8f
60,Sven Botman,nl NED,DF,Newcastle Utd,23-056,2000,22,21,1867,20.7,0,0,0,0,0,0,1,0,1.0,1.0,0.9,1.9,6,50,3,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches,ccce7025
61,Jarrod Bowen,eng ENG,FWMF,West Ham,26-079,1996,25,25,2240,24.9,4,2,6,3,1,2,2,0,6.9,5.8,4.4,10.2,67,52,155,0.16,0.08,0.24,0.12,0.20,0.28,0.18,0.45,0.23,0.41,Matches,79c84d1c
62,James Bree,eng ENG,DF,Southampton,25-149,1997,2,2,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches,c07b7c5c
63,Armando Broja,al ALB,FW,Chelsea,21-180,2001,12,2,294,3.3,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,7,4,17,0.31,0.00,0.31,0.31,0.31,0.26,0.02,0.27,0.26,0.27,Matches,97220da2
64,Lewis Brunt,eng ENG,DF,Leicester City,22-123,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a2081c6b
65,Bryan,es ESP,MFFW,Tottenham,22-026,2001,4,2,148,1.6,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,4,5,15,0.00,0.61,0.61,0.00,0.61,0.06,0.11,0.17,0.06,0.17,Matches,7b5ab7f2
66,Emi Buendía,ar ARG,MFFW,Aston Villa,26-074,1996,25,16,1465,16.3,4,0,4,4,0,0,0,0,3.9,3.9,3.0,6.9,33,90,81,0.25,0.00,0.25,0.25,0.25,0.24,0.19,0.42,0.24,0.42,Matches,66b76d44
67,Hugo Bueno,es ESP,DF,Wolves,20-172,2002,15,13,1040,11.6,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.9,41,31,52,0.00,0.09,0.09,0.00,0.09,0.02,0.06,0.07,0.02,0.07,Matches,bfc3b3a0
68,Facundo Buonanotte,ar ARG,FWMF,Brighton,18-076,2004,3,0,50,0.6,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.3,1,1,2,0.00,1.80,1.80,0.00,1.80,0.25,0.21,0.46,0.25,0.46,Matches,468a7a91
69,Dan Burn,eng ENG,DF,Newcastle Utd,30-304,1992,24,23,2030,22.6,0,0,0,0,0,0,3,0,1.1,1.1,0.6,1.7,17,74,27,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches,b2d31e83
70,Cafú,pt POR,MF,Nott'ham Forest,30-011,1993,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,85322440
71,Moisés Caicedo,ec ECU,MF,Brighton,21-127,2001,22,21,1909,21.2,1,1,2,1,0,0,6,0,1.0,1.0,1.5,2.5,18,134,32,0.05,0.05,0.09,0.05,0.09,0.05,0.07,0.12,0.05,0.12,Matches,16264a81
72,Tom Cairney,sct SCO,MF,Fulham,32-048,1991,22,1,471,5.2,0,0,0,0,0,0,1,0,0.6,0.6,1.2,1.9,21,50,26,0.00,0.00,0.00,0.00,0.00,0.12,0.24,0.36,0.12,0.36,Matches,a8748947
73,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-173,1996,10,7,716,8.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,23,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,94f8d10c
74,Dominic Calvert-Lewin,eng ENG,FW,Everton,25-358,1997,11,9,731,8.1,1,0,1,1,0,0,1,0,2.9,2.9,0.3,3.3,11,8,30,0.12,0.00,0.12,0.12,0.12,0.36,0.04,0.40,0.36,0.40,Matches,59e6e5bf
75,Chem Campbell,wls WAL,FWMF,Wolves,20-069,2002,5,0,74,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,10,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,6f711f67
76,João Cancelo,pt POR,DF,Manchester City,28-286,1994,17,16,1274,14.2,2,1,3,2,0,0,3,1,0.8,0.8,0.9,1.7,71,106,125,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12,Matches,bd6351cd
77,Thomas Cannon,ie IRL,FW,Everton,20-071,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,1,0,2,0.00,0.00,0.00,0.00,0.00,0.32,1.95,2.27,0.32,2.27,Matches,4506aec5
78,Sergi Canós,es ESP,FWDF,Brentford,26-035,1997,5,0,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,7,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11,Matches,1137759d
79,Diego Carlos,br BRA,DF,Aston Villa,29-359,1993,2,2,179,2.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,10,0,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches,b4a014b1
80,Fabio Carvalho,pt POR,MFFW,Liverpool,20-191,2002,11,4,337,3.7,2,0,2,2,0,0,0,0,1.1,1.1,0.1,1.2,7,11,24,0.53,0.00,0.53,0.53,0.53,0.30,0.03,0.32,0.30,0.32,Matches,966e28d0
81,Casemiro,br BRA,MF,Manchester Utd,31-014,1992,18,14,1305,14.5,2,3,5,2,0,0,5,1,2.1,2.1,2.0,4.1,8,86,24,0.14,0.21,0.34,0.14,0.34,0.14,0.14,0.28,0.14,0.28,Matches,4d224fe8
82,Matty Cash,pl POL,DF,Aston Villa,25-214,1997,21,16,1470,16.3,0,1,1,0,0,0,3,0,0.2,0.2,0.7,0.9,38,69,55,0.00,0.06,0.06,0.00,0.06,0.01,0.04,0.06,0.01,0.06,Matches,2389cdc2
83,Timothy Castagne,be BEL,DF,Leicester City,27-094,1995,24,23,2085,23.2,1,2,3,1,0,0,2,0,1.7,1.7,1.5,3.2,31,70,105,0.04,0.09,0.13,0.04,0.13,0.07,0.06,0.14,0.07,0.14,Matches,197640fd
84,Jonny Castro,es ESP,DF,Wolves,29-006,1994,16,12,1110,12.3,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.7,23,62,39,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches,e28868f3
85,Julio César Enciso,py PAR,FWMF,Brighton,19-045,2004,6,0,139,1.5,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,6,5,9,0.00,0.00,0.00,0.00,0.00,0.41,0.07,0.48,0.41,0.48,Matches,9cfbad36
86,Nathaniel Chalobah,eng ENG,MF,Fulham,28-087,1994,4,1,12,0.1,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.71,0.71,0.71,Matches,422862ea
87,Trevoh Chalobah,eng ENG,DF,Chelsea,23-247,1999,14,11,985,10.9,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,8,32,8,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches,5515376c
88,Calum Chambers,eng ENG,DFMF,Aston Villa,28-048,1995,6,2,231,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,10,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,dc6f5bdd
89,Ben Chilwell,eng ENG,DFMF,Chelsea,26-078,1996,14,7,713,7.9,1,2,3,1,0,0,1,0,0.9,0.9,0.6,1.4,23,23,69,0.13,0.25,0.38,0.13,0.38,0.11,0.07,0.18,0.11,0.18,Matches,d2424d1b
90,Ryan Christie,sct SCO,MFFW,Bournemouth,28-015,1995,20,12,1045,11.6,1,0,1,1,0,0,1,0,1.6,1.6,1.0,2.6,21,46,38,0.09,0.00,0.09,0.09,0.09,0.13,0.09,0.22,0.13,0.22,Matches,26ce2263
91,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-140,2003,9,1,218,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,13,11,13,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.17,0.12,0.17,Matches,b2f9c73e
92,Bobby Clark,eng ENG,MF,Liverpool,18-030,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,73341ace
93,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31-338,1991,19,17,1476,16.4,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.4,14,50,25,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,0442183b
